"location_id","location_name","parent_id","level","authority","facility_level","medical_bureaus","operational_status","ownership","private_facilities","public_facilities","reporting_status","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name","latitude","longitude","geom_enhanced","facility_level_2","facility_type"
"A0KeWapELXA","Ht Medical Clinic","MmY9teDWcvb",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,SQWtI329oDj,MmY9teDWcvb,A0KeWapELXA","South Buganda","Wakiso District","Makindye Ssabagabo Municipality","Masajja Division",0.258783,32.593556,NA,"clinic","private"
"A15NLokfXbV","Kabkoch Health Centre II","OtcX4cHu6sF",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dt6qdenPX1E,h1O9AvNR4jS,I3kNhWwjzYP,OtcX4cHu6sF,A15NLokfXbV","Bugisu","Kween District","Kween DLG","Kaptoyoy Subcounty",1.387732,34.486532,NA,"clinic","gov_HC"
"A2O80pDOSGq","Botan Medical Centre","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,A2O80pDOSGq","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.3079268,32.5666485,1,"clinic","private"
"A4g2J49bMOr","Alnoor Health Centre II","WeDWZD2Ql3h",6,"UMMB","HC II","UMMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,BD3XaQ7cQAp,W1JM2Qdhcv3,ntivgeuo9La,WeDWZD2Ql3h,A4g2J49bMOr","West Nile","Yumbe District","Yumbe DLG","Lori Subcounty",3.537018,31.255518,NA,"clinic","private"
"A4pdFqJLCLN","Perusi Health Centre III","MmY9teDWcvb",6,"Private Authority","HC III",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,SQWtI329oDj,MmY9teDWcvb,A4pdFqJLCLN","South Buganda","Wakiso District","Makindye Ssabagabo Municipality","Masajja Division",0.270356,32.56524,NA,"clinic","private"
"A4szRIn3VJl","RCRA Community Health Health Centre III","DXoaMhKbsnm",6,"UCBHCA","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,JZhJ50nOirX,aa8xVDzSpte,OUSQgDF51lM,DXoaMhKbsnm,A4szRIn3VJl","Tooro","Kasese District","Kasese DLG","Rugendabara-Kikongo Town Council",0.206202,30.1078493,1,"clinic","private"
"A5ai2sIyoNL","Kwagala Doctor Clinic","nLs3FmRSZhO",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,jzNvCTo4a6g,nLs3FmRSZhO,A5ai2sIyoNL","South Buganda","Wakiso District","Wakiso DLG","Katabi Town Council",0.0729431,32.5107959,1,"clinic","private"
"A5sNBoMutHJ","Kameke Health Centre III","uVmqHTweoDr",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P,OSZi89lCGxi,uVmqHTweoDr,A5sNBoMutHJ","Bukedi","Pallisa District","Pallisa DLG","Kameke Subcounty",1.264279,33.775933,NA,"clinic","gov_HC"
"A65RNcqCzVl","Pioneer Medical Centre Clinic","aAUXnkGhy5i",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,BD3XaQ7cQAp,iqsaGItA68C,k89bNptbrRE,aAUXnkGhy5i,A65RNcqCzVl","West Nile","Koboko District","Koboko Municipality","Southern Division",3.406341,30.958105,NA,"clinic","private"
"A6BV9ZHsrkC","Mercy Clinic (Bwaise II)","FbuhMjEaMXt",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,FbuhMjEaMXt,A6BV9ZHsrkC","Kampala","Kampala District","Kampala City Council","Makindye Division",0.3361234,32.5732866,1,"clinic","private"
"A6P3WOAXDru","Karugutu Health Centre IV","tsLXZfmENJW",6,"Local Government","HC IV",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,JZhJ50nOirX,z8D9ER36EKN,KTsaszvGorD,tsLXZfmENJW,A6P3WOAXDru","Tooro","Ntoroko District","Ntoroko DLG","Karugutu Town Council",0.79191,30.22713,NA,"clinic","gov_HC"
"A6pRqAKPNFH","Sapiri Health Centre III","kcStNQ2LDcH",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,QBPg7KKCeoA,kb7iUQISRlx,FX5HJNRqjkT,kcStNQ2LDcH,A6pRqAKPNFH","Bukedi","Budaka District","Budaka DLG","Budaka Subcounty",1.010373,33.984707,NA,"clinic","gov_HC"
"A6ymxlGAArq","Katson Medical Centre","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,A6ymxlGAArq","Kampala","Kampala District","Kampala City Council","Lubaga Division",NA,NA,NA,"clinic","private"
"A7BAVMsywaQ","Kawoko Muslim Health Centre III","ijcJS6aeDzn",6,"UMMB","HC III","UMMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,Ame30QOwuX6,LDgCc0TvQk9,ijcJS6aeDzn,A7BAVMsywaQ","South Buganda","Bukomansimbi District","Bukomansimbi DLG","Butenga Subcounty",-0.205255,31.695648,NA,"clinic","private"
"A7WDW0s9eo3","Zoom Medical Centre","FbuhMjEaMXt",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,FbuhMjEaMXt,A7WDW0s9eo3","Kampala","Kampala District","Kampala City Council","Makindye Division",0.2979633,32.6024897,1,"clinic","private"
"A8E98vahuiC","Bunaseke Health Centre III","EzcaOWLXAqW",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dt6qdenPX1E,wJ2a6YKDFZW,VDARuLj3PM6,EzcaOWLXAqW,A8E98vahuiC","Bugisu","Sironko District","Sironko DLG","Bumasifwa Subcounty",1.172293,34.384258,NA,"clinic","gov_HC"
"A8vURIvnH87","Mpumudde Health Centre III","aRg8TDbBLG5",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,IEU0FjDAhBP,aPRNSGUR3vk,M98eBeKnZPU,aRg8TDbBLG5,A8vURIvnH87","South Buganda","Lyantonde District","Lyantonde DLG","Mpumudde Subcounty",-0.283221,31.261271,NA,"clinic","gov_HC"
"A8wuDLj3rrh","Kisakye Domicilliary Clinic","MmY9teDWcvb",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,SQWtI329oDj,MmY9teDWcvb,A8wuDLj3rrh","South Buganda","Wakiso District","Makindye Ssabagabo Municipality","Masajja Division",0.2325948,32.5994817,1,"clinic","private"
"A9Bt9vywHbP","Aber Health Centre II","xuuOj2eAPqb",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,vFANCvLWoVs,xuuOj2eAPqb,A9Bt9vywHbP","Lango","Oyam District","Oyam DLG","Aber Subcounty",2.206732,32.344261,NA,"clinic","gov_HC"
"A9XqEsqGtzC","South Ankole Mission Health Centre III","eJ6V2fUvJa3",6,"UPMB","HC III","UPMB","Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,F1o6qBSx783,hAoe9dhZh9V,SIIJ3aaxlMz,eJ6V2fUvJa3,A9XqEsqGtzC","Ankole","Ntungamo District","Ntungamo Municipality","Eastern Division",-0.8893564,30.2858846,1,"clinic","private"
"AA6OLAa7sz9","Venero Plus Medical","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,AA6OLAa7sz9","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.3087385,32.5479178,1,"clinic","private"
"AB05Zdfd4KF","Sigulu Health Centre III","aifNCvFFHYu",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Wd1lV9Qdj4o,Ut0ysYGEipO,MnsahChNmyU,aifNCvFFHYu,AB05Zdfd4KF","Busoga","Namayingo District","Namayingo DLG","Sigulu Island Subcounty",0.122933,33.777071,NA,"clinic","gov_HC"
"AB3NV0mRYF7","Parents Clinic","UC5oDg6aLRl",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,jdlbNUwJiKX,a8RHFdF4DXL,AoTgisvcAho,UC5oDg6aLRl,AB3NV0mRYF7","Karamoja","Amudat District","Amudat DLG","Amudat Town Council",1.954814,34.944573,NA,"clinic","private"
"ABghkDkzEG5","Alpha and Omega Medical Centre","hQ8aPoqFZbB",6,"Private Authority","HC III",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,YMMexeHFUay,cloKnT9R95J,hQ8aPoqFZbB,ABghkDkzEG5","South Buganda","Mpigi District","Mpigi DLG","Buwama Subcounty",-0.0474067,32.151897,1,"clinic","private"
"ABv45SiQmhO","Mityana Nakaseeta Health Centre II","HjoAahqy6Yw",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dl9WvtvDs5V,Q7PaNIbyZII,crQhxDcTg1i,HjoAahqy6Yw,ABv45SiQmhO","North Buganda","Mityana District","Mityana Municipality","Busimbi Division",0.449548,32.081344,NA,"clinic","gov_HC"
"ACSxpJX5LxM","Smart Choice Medical Centre","N66jkBVzjnC",6,"NGO","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,Wd1lV9Qdj4o,mv4gKtY0qW8,DUw7q3Gll6G,N66jkBVzjnC,ACSxpJX5LxM","Busoga","Mayuge District","Mayuge DLG","Bugadde Town Council",0.3304917,33.525241,1,"clinic","private"
"ACckadqFYV7","Kamwenge Health Centre III","oAC3iaYXnzM",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,JZhJ50nOirX,uCVQXAdKqL9,y1Y0SmOAxkn,oAC3iaYXnzM,ACckadqFYV7","Tooro","Kamwenge District","Kamwenge DLG","Kamwenge Town Council",0.180199,30.448362,NA,"clinic","gov_HC"
"ACeIX77jOBg","Bwambara Health Centre III","AL6JpHbgaDx",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,G0rlphd2tcD,tugqr4dY6wq,sfRQ45Yk0K7,AL6JpHbgaDx,ACeIX77jOBg","Kigezi","Rukungiri District","Rukungiri DLG","Bwambara Subcounty",-0.602535,29.815753,NA,"clinic","gov_HC"
"ADB4cMlJP2q","Buyende Bugaya Health Centre IV","gN1WNlUMCAO",6,"Local Government","HC IV",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Wd1lV9Qdj4o,F3ccON3OCsL,F4mKrLnRbaN,gN1WNlUMCAO,ADB4cMlJP2q","Busoga","Buyende District","Buyende DLG","Bugaya Subcounty",1.095668,33.243057,NA,"clinic","gov_HC"
"ADDvxOPehhO","Kasika Health Centre II","ykAaC6ZBwGO",6,"Local Government","HC II",NA,"Non-Functional","GOV",NA,"Local Government","Non-Reporting","akV6429SUqu,JZhJ50nOirX,aa8xVDzSpte,OUSQgDF51lM,ykAaC6ZBwGO,ADDvxOPehhO","Tooro","Kasese District","Kasese DLG","Rukoki Subcounty",0.7121236,30.002727,1,"clinic","gov_HC"
"ADYVLN5f9vF","Buhanda (Bundibugyo) Health Centre III","mk8um9fK0pZ",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,JZhJ50nOirX,g8M1cWRJZV6,hykBh8Vh95G,mk8um9fK0pZ,ADYVLN5f9vF","Tooro","Bundibugyo District","Bundibugyo DLG","Tokwe Subcounty",0.733921,30.023872,NA,"clinic","gov_HC"
"ADhJXGIcCND","Bubeke Health Centre III","afDtaFFJy5U",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,IEU0FjDAhBP,JrHILmtK0OU,hkw7cymppi6,afDtaFFJy5U,ADhJXGIcCND","South Buganda","Kalangala District","Kalangala DLG","Bubeke Subcounty",-0.320379,32.578677,NA,"clinic","gov_HC"
"AEAY3lemaaR","St Thomas Health Centre III","jvma3lxo8f8",6,"Private Authority","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,JZhJ50nOirX,aa8xVDzSpte,OUSQgDF51lM,jvma3lxo8f8,AEAY3lemaaR","Tooro","Kasese District","Kasese DLG","Kyarumba Subcounty",0.206202,30.1078493,1,"clinic","private"
"AECp7SuwokS","St. Michael-Wera Health Centre III","LyX5VLc9Eyz",6,"UCMB","HC III","UCMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,r0GhWtmPHDj,TM6ccNxawqy,KWYSARiDNvH,LyX5VLc9Eyz,AECp7SuwokS","Teso","Amuria District","Amuria DLG","Wera Subcounty",1.889955,33.752719,NA,"clinic","private"
"AEHNScf4j7E","Rwimi Prisons Health Centre III","dS6Xrka1WwD",6,"UPS","HC III",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,JZhJ50nOirX,iTfbtn6JUsN,ARrKg065SFL,dS6Xrka1WwD,AEHNScf4j7E","Tooro","Bunyangabu District","Bunyangabu DLG","Rwiimi Town Council",0.367097,30.224275,NA,"clinic","gov_HC"
"AEfRAnnjHVl","Jovin Medical Centre","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,AEfRAnnjHVl","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3155925,32.6362878,1,"clinic","private"
"AF3a7cvTQLu","Kisiiha Health Centre II","STVXdJbnn3H",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,yx0ieyZNF0l,L5WBetpBpY3,Yi3GBtrlRfw,STVXdJbnn3H,AF3a7cvTQLu","Bunyoro","Kikuube District","Kikuube DLG","Buhimba Subcounty",1.319042,31.285593,NA,"clinic","gov_HC"
"AFKqTIeJAKr","Kyakabadma Health Centre III","einBeJvXJ9C",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,yx0ieyZNF0l,orgY0d5MJa9,SMjGD338vkR,einBeJvXJ9C,AFKqTIeJAKr","Bunyoro","Kagadi District","Kagadi DLG","Kyakabadiima Subcounty",1.026749,30.857241,NA,"clinic","gov_HC"
"AGsvc31h7U0","Special Care Medical Clinic","oWRTyNICPdf",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,Dl9WvtvDs5V,ykxQEnZGXkj,QXhS8g7mb0G,oWRTyNICPdf,AGsvc31h7U0","North Buganda","Kayunga District","Kayunga DLG","Nazigo Subcounty",0.643465,32.9877066,1,"clinic","private"
"AHEfjvzXy4e","Rs Clinic","FbuhMjEaMXt",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,FbuhMjEaMXt,AHEfjvzXy4e","Kampala","Kampala District","Kampala City Council","Makindye Division",0.2908139,32.6054222,1,"clinic","private"
"AIWpt7rgU47","Nakatoogo Health Centre II","xmBzxlSRY4r",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG,xrMRirMjpsq,xmBzxlSRY4r,AIWpt7rgU47","South Buganda","Kyotera District","Kyotera DLG","Nabigasa Subcounty",-0.516529,31.524519,NA,"clinic","gov_HC"
"AIl1p6YgqxA","Buwooya Health Centre III","qUnWFJF2sOW",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dl9WvtvDs5V,aZLZPPjqft0,QQtcR6lPoRD,qUnWFJF2sOW,AIl1p6YgqxA","North Buganda","Buvuma District","Buvuma DLG","Buwooya Subcounty",0.255565,33.35273,NA,"clinic","gov_HC"
"AIqpNaeckvv","Wandegeya Police Health Centre II","zNdkt1W9dcu",6,"UPF","HC II",NA,"Functional","GOV",NA,"UPF","Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,zNdkt1W9dcu,AIqpNaeckvv","Kampala","Kampala District","Kampala City Council","Central Division",0.329598,32.574533,NA,"clinic","gov_HC"
"AJZB0yz1pSi","Destiny Medical Clinic","a9Gy7Imvd9F",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,QBPg7KKCeoA,KhT80mlwJ3Y,PhlThQ2Me7v,a9Gy7Imvd9F,AJZB0yz1pSi","Bukedi","Tororo District","Tororo Municipality","Western Division",0.6929809,34.18082,1,"clinic","private"
"AJkKMphRAcS","Master Doctor Clinic","NYb019QWhPQ",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp,s6KEFj4fFHz,NYb019QWhPQ,AJkKMphRAcS","Bunyoro","Masindi District","Masindi Municipality","Central Division",1.6789867,31.7138458,1,"clinic","private"
"AJxamlmKn2x","Keyo Health Centre II","COaxzbRhsBA",6,"UPMB","HC II","UPMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,SUvODYOcaVf,C0RSe3EWBqU,LXM3yaaPjlR,COaxzbRhsBA,AJxamlmKn2x","Acholi","Amuru District","Amuru DLG","Lamogi Subcounty",2.811973,32.188865,NA,"clinic","private"
"AKFDKJ5sKSW","Royal Health Care","LYuMx5oPsR5",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,LYuMx5oPsR5,AKFDKJ5sKSW","Kampala","Kampala District","Kampala City Council","Kawempe Division",0.370643,32.559596,NA,"clinic","private"
"AKNaO98uuZO","Apala Health Centre III","QxWmMTnE0fq",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,DWPnYhoqza0,p7EEgDEX3jT,hJFLkTWmheT,QxWmMTnE0fq,AKNaO98uuZO","Lango","Alebtong District","Alebtong DLG","Apala Town Council",2.401315,33.040898,NA,"clinic","gov_HC"
"AKpvly3o7QD","St. John's Nyagisozi Health Centre III","FixeLpMLYYN",6,"UCMB","HC III","UCMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,G0rlphd2tcD,aPhSZRinfbg,n11ULfxdXWZ,FixeLpMLYYN,AKpvly3o7QD","Kigezi","Kisoro District","Kisoro DLG","Rukundo Town Council",-1.257642,29.619772,NA,"clinic","private"
"AL521nQ9UmV","Ngeye Medical Centre HC II","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,AL521nQ9UmV","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.3170679,32.5244483,1,"clinic","private"
"ALhT5C3QAHi","Alexandra Medical Centre","zNdkt1W9dcu",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,zNdkt1W9dcu,ALhT5C3QAHi","Kampala","Kampala District","Kampala City Council","Central Division",0.3316849,32.5802684,1,"clinic","private"
"AMw3fIT1vST","God'S Grace Clinic
","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,AMw3fIT1vST","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.3060804,32.6128423,1,"clinic","private"
"ANYKCstCMiJ","Jonah Medical Centre Banda","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,ANYKCstCMiJ","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3539163,32.6368481,1,"clinic","private"
"ANnUPrQGwTy","Life Care Hospital","on8r7eHNeVQ",6,"Private Authority","General Hospital",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,BD3XaQ7cQAp,iQTVPmAJPkr,DUu6g6xpn1e,on8r7eHNeVQ,ANnUPrQGwTy","West Nile","Arua City","Arua City Council","Arua Central Division",3.005768,30.911944,NA,"hospital","private_hosp"
"AQMFExsJcWR","Namirembe Mother Care Drug Shop","TokOnAvsPI6",6,"Private Authority","Drug Shop",NA,NA,"PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,REJuxCmTwXG,xrMRirMjpsq,TokOnAvsPI6,AQMFExsJcWR","South Buganda","Kyotera District","Kyotera DLG","Kalisizo Town Council",-0.537136,31.62049,NA,"drugshop","drugshop"
"AQcSo9fUroU","3R Kisakye Medical Centre","Qplf7b6Ktzu",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,Jh70HJqgBFh,Qplf7b6Ktzu,AQcSo9fUroU","South Buganda","Wakiso District","Nansana Municipality","Nabweru Division",0.3733231,32.5425593,1,"clinic","private"
"AQkq4eUmWyJ","Ultimate Choice Clinic","OoSjd5RuEQb",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,SUvODYOcaVf,aBrjuZk0W31,GGCkDuPXAJm,OoSjd5RuEQb,AQkq4eUmWyJ","Acholi","Pader District","Pader DLG","Pader Town Council",2.880784,33.087161,NA,"clinic","private"
"ARN4L74688e","St. Luke Health Centre III","a5Rsb7b0H2V",6,"Private Authority","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,DWPnYhoqza0,gCN6sU5BjlR,mf4UQmT6h4A,a5Rsb7b0H2V,ARN4L74688e","Lango","Kwania District","Kwania DLG","Aduku Town Council",2.016318,32.721971,NA,"clinic","private"
"ARgkmShGpuT","Katanoga Health Centre II","vLujVIJd0j7",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,F1o6qBSx783,UaR7OHycj8c,MA7wxJY7qnn,vLujVIJd0j7,ARgkmShGpuT","Ankole","Isingiro District","Isingiro DLG","Nyamuyanja Subcounty",-0.749682,30.700332,NA,"clinic","gov_HC"
"ARwkGmOSTiP","Care Plus Medical Clinic","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,ARwkGmOSTiP","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3482451,32.6661193,1,"clinic","private"
"AS4eTVHhwrD","Kabuyanda Catholic Health Centre II","wLL0PdmBLep",6,"UCMB","HC II","UCMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,F1o6qBSx783,UaR7OHycj8c,MA7wxJY7qnn,wLL0PdmBLep,AS4eTVHhwrD","Ankole","Isingiro District","Isingiro DLG","Kabuyanda Town Council",-0.943755,30.627208,NA,"clinic","private"
"ASNnd0et215","Kokil Health Centre II","zzl9JUHMQY1",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,SUvODYOcaVf,ztIyIYAzFKp,it2iwePQWDT,zzl9JUHMQY1,ASNnd0et215","Acholi","Agago District","Agago DLG","Paimol Subcounty",3.061405,33.423601,NA,"clinic","gov_HC"
"ASNyZE7TMLu","Kinyara Sugar Works Health Centre III","vWkHnDxVm6l",6,"UCBHCA","HC III",NA,"Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,yx0ieyZNF0l,xr8EMirOASp,w5WItSAsgK0,vWkHnDxVm6l,ASNyZE7TMLu","Bunyoro","Masindi District","Masindi DLG","Kabango Town Council",1.640123,31.608189,NA,"clinic","private"
"AT6wxdMK8PV","Rwabigyemano Health Centre III","jvcz0hVcAxJ",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,F1o6qBSx783,qf9xWZu7Dq8,EyuDJSGcd4B,jvcz0hVcAxJ,AT6wxdMK8PV","Ankole","Kiruhura District","Kiruhura DLG","Kenshunga Subcounty",-0.216062,30.872969,NA,"clinic","gov_HC"
"ATH6V5ik1cF","Awebwa Matenity Centre","YhVHvo0UUnR",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,Dl9WvtvDs5V,tr9XWtYsL5P,q7rZrDhZMDi,YhVHvo0UUnR,ATH6V5ik1cF","North Buganda","Luwero District","Luwero DLG","Luweero Town Council",0.833508,32.501449,NA,"clinic","private"
"ATNyHq3aINr","Burua Health Centre II","vwDbo5apOm9",6,"Local Government","HC II",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,BD3XaQ7cQAp,bJgx6UjvyoP,cduKXXs4CH2,vwDbo5apOm9,ATNyHq3aINr","West Nile","Terego District","Terego DLG","Aii-Vu Subcounty",3.184117,31.004477,NA,"clinic","gov_HC"
"ATU2cKmtFoH","Suham Dental Surgery","zNdkt1W9dcu",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,zNdkt1W9dcu,ATU2cKmtFoH","Kampala","Kampala District","Kampala City Council","Central Division",0.311031,32.581247,NA,"clinic","private"
"ATo2Nmy2Y1Y","Lurujo Health Centre III","rpArRJJW06x",6,"UNHCR","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,BD3XaQ7cQAp,iqsaGItA68C,sKfe6xteq9G,rpArRJJW06x,ATo2Nmy2Y1Y","West Nile","Koboko District","Koboko DLG","Lobule Subcounty",3.358356,31.012765,NA,"clinic","gov_HC"
"AUEXQv8yyQ4","Hellens Clinic","FbuhMjEaMXt",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,FbuhMjEaMXt,AUEXQv8yyQ4","Kampala","Kampala District","Kampala City Council","Makindye Division",0.3123952,32.6081467,1,"clinic","private"
"AULdz853paf","Isingiro Police Health Centre II","wyW0esOM7ZB",6,"UPF","HC II",NA,"Functional","GOV",NA,"UPF","Reporting","akV6429SUqu,F1o6qBSx783,UaR7OHycj8c,MA7wxJY7qnn,wyW0esOM7ZB,AULdz853paf","Ankole","Isingiro District","Isingiro DLG","Isingiro Town Council",-0.773937,30.780182,NA,"clinic","gov_HC"
